"HS4","HS4.ID","CO_ANO","pci"
"Live horses, asses, mules and hinnies.","0101","2008",-0.0344883249
"Live horses, asses, mules and hinnies.","0101","2009",-0.4079073314
"Live horses, asses, mules and hinnies.","0101","2010",-0.477784629
"Live horses, asses, mules and hinnies.","0101","2011",-0.5389368109
"Live horses, asses, mules and hinnies.","0101","2012",-0.2640831208
"Live horses, asses, mules and hinnies.","0101","2013",-0.115361808
"Live horses, asses, mules and hinnies.","0101","2014",0.0194849946
"Live horses, asses, mules and hinnies.","0101","2015",-0.400661434
"Live horses, asses, mules and hinnies.","0101","2016",-0.6873725807
"Live horses, asses, mules and hinnies.","0101","2017",-0.5840522086
"Live horses, asses, mules and hinnies.","0101","2018",-0.6675362805
"Live horses, asses, mules and hinnies.","0101","2019",-0.3414110161
"Live bovine animals.","0102","2008",-0.5312553636
"Live bovine animals.","0102","2009",-0.7055189137
"Live bovine animals.","0102","2010",-0.7717077051
"Live bovine animals.","0102","2011",-0.8985046614
"Live bovine animals.","0102","2012",-0.8541066094
"Live bovine animals.","0102","2013",-0.8027080404
"Live bovine animals.","0102","2014",-1.0309400959
"Live bovine animals.","0102","2015",-0.8988127198
"Live bovine animals.","0102","2016",-1.0331139454
"Live bovine animals.","0102","2017",-0.9653401751
"Live bovine animals.","0102","2018",-0.6838223278
"Live bovine animals.","0102","2019",-0.7922723472
"Live swine.","0103","2008",0.7501493972
"Live swine.","0103","2009",0.5493619246
"Live swine.","0103","2010",0.5639116682
"Live swine.","0103","2011",0.4899607188
"Live swine.","0103","2012",0.4962487134
"Live swine.","0103","2013",0.6762067621
"Live swine.","0103","2014",0.6478286345
"Live swine.","0103","2015",0.6811003089
"Live swine.","0103","2016",0.5249896799
"Live swine.","0103","2017",0.5428602824
"Live swine.","0103","2018",0.5651628912
"Live swine.","0103","2019",0.5459872233
"Live sheep and goats.","0104","2008",-1.5036525238
"Live sheep and goats.","0104","2009",-1.7044668469
"Live sheep and goats.","0104","2010",-1.8012568847
"Live sheep and goats.","0104","2011",-1.8200286385
"Live sheep and goats.","0104","2012",-1.7725192725
"Live sheep and goats.","0104","2013",-1.6587469993
"Live sheep and goats.","0104","2014",-1.6162214105
"Live sheep and goats.","0104","2015",-1.5375305346
"Live sheep and goats.","0104","2016",-1.7600239575
"Live sheep and goats.","0104","2017",-1.8273424802
"Live sheep and goats.","0104","2018",-1.7362118566
"Live sheep and goats.","0104","2019",-1.6745631654
"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","0105","2008",-0.0893830435
"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","0105","2009",0.1971729639
